,I usually know all the new and emerging music artists,A music artist's social channels are the most important place for me to check in on,I don’t really think about whether or not news organizations have accurate or unbiased information,I use social media for flirting and dating,My friends are more important to me than my family,"I am eager to see my favorite artists’ video updates on social media (e.g. Vlog, Instagram Story, Snapchat etc.)",I like to discover new artists before my friends,President Obama is the worst President in US history,It isn't fair to bring up young children in a big city,It is perfectly normal if a man wears women's clothes or vice versa,Success in America is more a result of hard work rather than good fortune (having connections and good background),The government is hiding what really happened on 9/11,I think it’s fine if college athletes lose their scholarships when they get hurt and can’t play anymore,People worry too much about the environment,Politics (General Interests),The world would be a better place without smartphones,It is more ethical to be vegetarian,National news,My faith is important to me,"I have been known to ""stalk"" someone on social media","Whilst watching TV, I search the internet for products I see advertised",Family over everything,I would pay for access to magazine content online,I like to go on vacation where activities are organized for me,Anyone who watches Fox News for news is dumb,I don't care what my carbon footprint is,"Across history, religion has done more bad than good",I have never left the country,Transgender people are just confused,I prefer watching TV on my laptop or tablet,cluster
hannibal rising,0.0802822568400487,0.012852342240269599,-0.0012490840705145223,0.027119024900380456,0.010242993283314239,0.06908989292598697,0.043401487783960135,0.04789826610910794,0.0184200340610588,-0.0112220085040729,0.013926927331875921,0.05416717678261779,0.013639801750941538,0.012946889953136614,-0.020880411075384936,0.009439508420919451,0.00786002121820395,-0.04228356963748495,-0.006005671838445248,0.01611927844707367,0.03349039245206928,0.06650942176427657,-0.0004432528270160996,0.01691765631083586,-0.0012354908875238935,0.007820057074828024,0.022882743859360538,0.061729242283246666,0.04166971315409118,-0.00411307144010617,1
l.a. confidential,0.012003139627403125,-0.009702871714830502,-0.050875288667507096,-0.013999144382293438,-0.021305739724953365,0.007103369062431031,0.012328145910598609,-0.03273575951337099,-0.05665185977253759,0.024224408881422382,-0.007646319758689624,-0.05288622196826648,-0.015753253738938378,-0.014213707199161263,0.05512411813984594,-0.006284111335725595,0.06176171360651206,0.04551786358783183,-0.03350754078554499,-0.03879177003935447,0.013002623765388743,-0.01499676554840898,0.061045380829945484,-0.0023880916786232775,0.059534631320827425,-0.010358505269958934,0.06090917362312548,-0.06325385243589013,-0.015689172094591364,0.009470741984420356,11
memento,0.003080977943230173,0.01953132565729715,-0.06392729234867789,0.008642796391603147,0.08756910572995963,-0.02526246812666938,0.02549100748279906,-0.06931979113384551,-0.10574107750033448,0.07130444456264887,-0.11984277608556482,-0.05194293638850267,-0.04022926402185023,-0.0856691830201812,0.08984708375908776,-0.0334706638696691,0.033439743019686996,0.04889375184834807,-0.1255560175213682,-0.02082659261617925,-0.038830697849009915,-0.08717376898665852,0.034797142374667966,-0.00902025236038867,0.08117993794804648,-0.07154072351643095,0.06356536151335637,-0.0626302265649735,-0.06394158345387996,0.05380024962449054,11
perfect stranger,0.08376406954024618,0.08468861558924018,0.07545651243523893,0.03926849105261293,-0.010326032621602782,0.08075527386960624,0.05880157837184807,0.02800569854221785,0.04075452951137687,0.007935075794581997,0.022891434226583657,0.0747870848067177,0.0275102514696893,0.015732963610662676,0.003918556401110246,0.019335786040513697,0.011116459738694323,-0.03598792153310429,0.05730528879734978,0.0035711149375069196,0.056023884053782336,0.09962996100468513,0.07309667353310045,0.07848151135370424,-0.03779730539890486,-0.001978752940510975,0.0038632388168396425,0.11278362335086989,0.023831252642045025,0.0368854939355808,6
police story 2,0.040526858671814325,-0.001406330062865918,0.0443913658477986,0.046180242352261314,0.006903025820676839,-0.004635429300012067,0.02296987645574712,0.0795156518578963,0.06028019526336567,-0.029776553020695845,0.007300735781800044,0.04046529822393477,0.04661934704972895,0.05919063456494211,0.008605456707839382,0.04511436220657386,0.044787628648188915,-0.01715566701697613,0.043124426791237055,0.04682953551651764,0.01638763995088481,0.02309994670625158,0.0482264164020397,0.024930075328907148,0.006742806831975701,0.08661439251734371,-0.003819934596535818,0.027914266981755503,0.06252911943962616,0.022336430637783816,8
the fan,-0.02270740128504753,-0.0009754937450237311,0.005882052061976367,-0.037618402952368346,-0.022668975601789015,-0.009122084890333948,0.001542462064466149,-0.011552772319849414,-0.06059320168403942,-0.008765175114609697,-0.010509256676396378,-0.018632861293701758,-0.04016205035023518,-0.0008154366082978315,0.02910176338048412,-0.02368135718108702,-0.031127122092642512,0.03818707892000486,-0.01659329083383909,-0.05416998531618267,0.009894411110763252,0.04105361946125717,-0.013986222564292022,-0.06068595942406205,-0.005822091100147114,-0.02038800903862875,-0.010626950453362649,-0.0005249906082945011,-0.01595698887981098,-0.038517234958442725,17
the general,0.04181052839115182,0.031609990931582316,0.06509834702943129,0.07929770311263667,0.058129310226788744,0.0149281842230517,-0.020288821262157808,0.06576066746312581,0.05117292328105921,0.03213942965022368,0.033666718788396804,0.04813228190993718,0.07167707713902904,0.040391497487844125,-0.030029384163142547,0.07523495202164249,0.03843922061689797,-0.030353010422960597,0.007695863110437906,0.06139713342677694,0.02431336309820384,-0.018749909355751493,0.072271490620957,0.05417234770020013,0.03868470567130994,0.056191276285395164,0.017822152258887364,0.025200730096989366,0.04120829006105661,0.08942886779601494,2
the prestige,-0.01027672631857568,-0.018295433219538693,0.005303448682420775,-0.027284627511435205,0.00846996128347946,-0.04217102036084547,0.003782102583619662,-0.031210519750773325,-0.023079788835219245,0.02226671788421991,-0.06088017226263459,-0.03479841466385855,0.041012488896416815,-0.02905157958516258,0.006586242770593387,-0.008452362558392601,0.04908429945197068,0.0446304855993086,-0.08206617507184918,-0.027464824648415792,-0.015623026397863365,-0.04693303397763984,0.019346447299555897,-0.020531900809795778,0.0642652001170193,-0.02047252165115518,0.036241538704707116,-0.016606501765609488,-0.035898505428690275,0.04879259933766161,11
the sixth sense,-0.17380651849124928,-0.1927791220911183,-0.13985480835291025,-0.1735617552319827,-0.17466150705063765,-0.1246419155006398,-0.08165780009551876,-0.1389341348136024,-0.12553915735189547,0.013370641942273165,-0.1264848644890616,-0.02035629994428284,-0.13282727128376826,-0.12128482359225012,0.09894652559941092,-0.13270506421232292,-0.08761446023877961,0.11711552077064813,-0.08728266111387362,-0.15997299900168366,-0.09578083056644515,0.023091329389790027,-0.1956770308475878,-0.11502227028175227,-0.015728971185156204,-0.136775469958623,-0.02412367892646683,-0.09618333802413259,-0.1317690118032609,-0.21105100016901812,20
v for vendetta,-0.0641197912780418,-0.0669025487564407,-0.13372567232037577,-0.07909009843477008,-0.021248710868902232,-0.018374754313719682,-0.0026338129489976436,-0.09293974422132101,-0.07703075468493123,0.05428952433268025,-0.14237210773240583,-0.020224276786167228,-0.06909323535063977,-0.07969976578865628,0.07307028645512545,-0.0627398767814662,0.052620680036499945,0.07809732545156123,-0.14609017907775243,-0.04298618177620389,-0.06935585139866798,-0.1184204513045721,-0.02731187319904313,-0.026558217196682388,0.06273392010369827,-0.10360329552076777,0.05899629747076526,-0.011926509831781978,-0.06910865800029087,0.007223596191229198,17
